Sequence;Speaker;Utterance;
1;M1:;(0)eh啊 ,;Angelina
2;M1:;...(1.4)最近都沒有跟那 些人 ,;
3;M1:;..那個啊 ?;
4;M1:;...[最近是] --;
5;M2:;   [比較少一點喔] .;
6;M2:;...(3.4)因為 ,;
7;M2:;...(1.4)現在大家也各忙各的 .;
8;M2:;..反正我就做我的<L2 trading L2> .;
9;M2:;...(1.5)搞我自己的東西 .;
10;M1:;(0)可是 ,;
;M1:;走掉的也很多啊 ?;
11;M2:;(0)um .;
;M2:;XXX像 --;
;M2:;喔有啦 ,;
12;M2:;.. <L2 Mark L2>我最近比較常跟他聯絡 .;
13;M2:;..蔡 .;
14;M1:;..蔡喔 .;
15;M2:;..他自己 --;
;M2:;現在自己在做交易 .;
;M2:;所以我們還蠻多 ,;
;M2:;..互相交流的 .;
17;M1:;..我知道他從自營部離開呀 .;
18;M2:;...(1.3)他現在在那個什麼 ,;
19;M2:;...(1.0)忠孝敦化的路口 .;
20;M2:;..有一個太平洋證券 .;
;M2:;它裡面弄了個 --;
21;M2:;...操盤室他在裡面弄 .;
;M2:;因為好像那一家分公司的經理 .;
;M2:;跟他是好朋友 .;
22;M1:;...(2.8)太平洋證券還在唷 ?;
23;M2:;(0)um ?;
24;M1:;..太平洋證券[還在XX] ?;
25;M2:;                    [<@對 .;
;M2:;                                 還在@>]@ .;
26;M2:;..全台灣有幾個點 .;
27;M1:;..um .;
28;M2:;..我是不知道他們是靠什麼做 .;
;M2:;反正那一間 --;
;M2:;那個點還在 .;
;M2:;然後<L2 Mark L2>還在裡面操盤 .;
29;M2:;...(1.0)所以最近我們常常在那邊跟他聊 .;
;M2:;所以下 -;
;M2:;接下來 ,;
;M2:;下個禮拜可能找他跟 --;
30;M2:;..李呀什麼吃個飯 .;
;M2:;反正既然都在操盤大家聊一聊交流[交流] .;
31;M1:;                                                      [X];
32;M1:;...小樓這件事嗎 ?;
33;M2:;(0)um ?;
34;M1:;..小樓 .;
35;M2:;..有見過一兩次 .;
;M2:;不太熟 .;
36;M1:;(0)um .;
37;M1:;...(1.7)大概黃比較熟吧 ?;
38;M2:;..um .;
39;M1:;...(3.9)那時候我當小特助的時候 ,;
;M1:;他是董事 .;
40;M2:;(1.9)他後來是不是在澳門當 ,;
41;M1:;(0)um..對 .;
43;M2:;(0)[公務員] ?;
44;M1:;    [司法]-;
;M1:;司法警察 .;
45;M1:;...(2.4)他老婆的問題還沒解決 .;
;M1:;很麻煩 .;
46;M2:;...(1.7)他老婆是 --;
47;M2:;...原本就有那樣的狀況然後後來才展現出來 .;
;M2:;還是說 ,;
48;M2:;...後來才得憂鬱症 .;
49;M1:;(0)後來更嚴重 .;
50;M1:;..聽說原-;
;M1:;本來就<L3 siau1 siaul L3> .;
51;M2:;...(2.7)幾年前我跟 ,;
52;M2:;...(1.9)嘉跟李跑去澳門玩 .;
53;M1:;..喔 .;
54;M2:;(0)有跟他們一起吃飯 .;
;M2:;可是那時候他老婆看起來很正常 .;
55;M1:;...(4.7)那次以後啦 .;
56;M2:;...(1.4)是喔 .;
57;M2:;...可是我上次見到她應該是零九年喔 .;
58;M1:;(0)um .;
59;M2:;...那時候她還蠻正常的 .;
60;M2:;...(2.5)沒想到後來就變那個樣子 .;
61;M1:;(0)um ,;
62;M1:;..他跟我講說 ,;
63;M1:;..他 ,;
64;M1:;...(1.1)把他丟 --;
65;M1:;..就是 ,;
66;M1:;..落跑來台灣 .;
67;M2:;...(1.7)是喔 .;
68;M2:;...(1.7)那怎麼辦 ?;
69;M1:;...(1.0)沒有啊 ,;
70;M1:;..就 ,;
71;M1:;..他司法警察也不能跑啊 .;
72;M1:;...總不能跑走 .;
;M1:;大概帶得回來台灣就回台灣啊 .;
73;M1:;...(1.7)比較慘的地方就是說 ,;
74;M1:;..小朋友那時候在美國生的啊 .;
75;M1:;...(1.0)拿美國護照 .;
76;M1:;..他回來台灣 ,;
77;M1:;..他在台-;
78;M1:;..美國護照又過期 .;
;M1:;他沒辦法辦台灣護照 .;
79;M2:;...(1.7)這很誇張耶 .;
;M2:;怎麼 --;
80;M1:;(0)他媽媽扣住他的美國護照不讓他動 .;
81;M1:;...就沒辦法<L2 renewL2>啊 .;
82;M1:;...(4.2)小孩子在父親手上 .;
83;M2:;...(3.4)還有這種事喔 .;
84;M1:;..um .;
;M1:;..那人反正既然在台灣不-;
85;M2:;也不能辦身分 ?;
86;M1:;..對 .;
87;M2:;..好奇怪喔 .;
;M2:;為什麼 ?;
88;M1:;(0)他還有一次逾期居留@ .;
89;M2:;...怎麼那麼詭異 .;
90;M1:;(0)不是呀 ,;
;M1:;了不起耶 .;
91;M2:;...(1.0)怎麼會搞成這樣 .;
92;M1:;...(4.1)然後他老婆好像把 ,;
;M1:;他們家 --;
93;M1:;..中間回去一趟澳門 ,;
;M1:;把家裡的黃金 ,;
94;M1:;...全部幫-;
95;M1:;..搬光 .;
96;M1:;...然後 ,;
97;M1:;...(2.5)然後最近靠 --;
98;M1:;..靠賣黃金過日子 .;
99;M2:;..@@@@@<@這真他媽的了不起喔@> .;
100;M1:;..tsk;
101;M2:;...因為那時候他加我 .;
;M2:;在<L2 Facebook L2>上加我 ,;
;M2:;X我想這個人是誰 ,;
;M2:;就等於是你XXX;
102;M2:;...結果點進去靠一看我想說 ,;
;M2:;他那個憂鬱症蠻嚴重的 .;
;M2:;他完全都在 ,;
103;M2:;..自問自答自言[自語] .;
104;M1:;                        [對呀] .;
105;M1:;..我就把他 --;
;M1:;我後來把他<L2 block L2>起來 .;
106;M2:;(0)對呀 ,;
;M2:;我也是 .;
107;M1:;(0)然後 ,;
108;M1:;..我還舉報他 .;
109;M1:;...我還很難過的 .;
110;M1:;..真的我舉報他 ,;
;M1:;之後我老婆跟我講說 ,;
;M1:;你幹嘛舉報他 .;
111;M1:;..他看不到了@@@ .;
112;M2:;...(1.4)你要看那個 ,;
;M2:;<@你就點進去他那邊就看得到啦@> .;
113;M1:;..um ?;
114;M2:;..你要點進去他的那一個<L2 area L2>還是看得見他寫的所有東西呀 .;
115;M1:;(0)是喔 .;
116;M1:;...我把他<L2 block L2> 起來還舉報他 .;
117;M2:;(0)<L2 block L2>起來他就不會出現在你那邊 .;
;M2:;可是 ,;
;M2:;你從朋友那裡面去搜尋 ,;
;M2:;他還在你的<L2 listL2>裡面 .;
118;M1:;..是喔 .;
119;M2:;(0)對 .;
;M2:;除非你把他解除 .;
;M2:;朋友關係 .;
120;M1:;(0)我好像把他<L2 delete L2>掉了 .;
121;M2:;(0)那你可能就沒了@@@@ .;
;M2:;因為呢 ，;
;M2:;我是把他<L2 block L2>住 ,;
;M2:;然后呢那我點進去還是看得到 .;
122;M2:;..那我看他其實 ,;
123;M2:;..看得出蠻嚴重的 .;
124;M2:;..他那個其實需要看醫[生] .;
125;M1:;                                   [他好像]現在 --;
126;M1:;..現在都是寫信給那個 ,;
127;M1:;..叫什麼名字 ,;
128;M1:;…徐XX.;
129;M2:;(0)@@他會每個人發啦 .;
130;M2:;..他沒有發給我 ,;
131;M2:;..因為他不知道我是誰 .;
132;M2:;..他只是把我加-;
;M2:;他可能看出我是 --;
133;M1:;..他可能 ,;
134;M1:;..[他可能] --;
135;M2:;  [這些]人的[[朋友]] .;
136;M1:;                  [[他可能]]會 --;
;M1:;會發到黃那邊去吧 .;
137;M1:;..不過黃應該不會理他 .;
138;M2:;..沒有啊完全沒任何反應啊 . ;Holly
139;M2:;...因為我也看一下X黃X的那個 --;
140;M2:;.. <L2 Facebook L2>他好像也都沒什麼他應該也是把他<L2 block L2>的動作 .;
141;M1:;(0)um .;
142;M1:;...(1.4)對呀 .;
143;M2:;(0)那我有進去看他寫那個我就覺得說 ,;
144;M2:;..他那個思緒整個都亂掉了 .;
145;M2:;..他那個其實真的[就是] --;
146;M1:;                           [有]嚴重被害妄想 .;
147;M2:;(0)他不管 .;
148;M2:;..他那個ho不管吃藥 .;
149;M2:;..跟心<L2 pro L2>看都要做 .;
150;M2:;...這是 --;
151;M2:;..這個是蠻麻煩的事但是最怕的就是他 --;
;;..我看他他好像不承認 .;
152;M1:;(0)對呀 .;
153;M2:;(0)我看到他有好他朋友 ,;
154;M2:;..在裡面寫說eh[他是不是變]了或者說他是不是生病了是不是需要去看醫生他也都沒回應 .;
155;M1:;                        [XXX] .;
156;M2:;...(1.8)他一定是自己簡單來說他有這樣的狀況 .;
157;M1:;..當然 ,;
158;M1:;..沒有幾個人覺得說自己有神經病 .;
159;M2:;..@@其實這是有預見就是<L2 depression L2>嘛 .;
160;M2:;..就看一看應該還好啊 .;
161;M2:;...(1.5)對不對 ?;
162;M1:;..也是啦 .;
163;M1:;..因為前幾天他才來找我吃飯 ,;
164;M1:;..小樓回來[台灣] --;
165;M2:;                 [蛤]那我覺得他 --;
166;M2:;..他這樣子他壓力應該很大耶 .;
167;M2:;..他有他離了嗎 ?;
168;M1:;..他說在<L2 file divorce L2>啊 .;
169;M2:;唉 .;
170;M1:;...(1.8)他說他從澳門<L2 file divorce L2> 在台灣<L2 file L2>保護令 .;
171;M1:;...(2.3)要分居的時間夠 --;
172;M1:;..夠久好像滿兩年他就 --;
173;M1:;...他就可以離婚了 .;
174;M2:;(0)很辛苦 .;
175;M1:;(0)所以他必須<L3 kin L3>住兩年 .;
176;M2:;(0)然後 ,;
177;M2:;...聽那個我上次聽我忘記誰講的女方家人認為說他們女兒沒有問[題] .;
178;M1:;                                                                                                    [對呀] .;
179;M2:;..是真的被 -- ;
180;M2:;..女 --;
;;..他老公家暴靠 .;
181;M2:;..<@那問題就不是這樣子嘛你任何 --;
182;M2:;..頭腦清楚的人@>看到他的言行[[就知道他有問題啊]] .;
183;M1:;...(5.3)[[<L2 so L2>小樓跟我講說]] ,;
;;..他只是幫個魚換個水因為有的時候不是那個水用用 --;
184;M1:;..用那個水管要用嘴巴吸嗎 .;
185;M1:;...就是把那個水吸出來吸出一個<L2 vacuum L2> .;
186;M1:;..就真空嘛然後再利用那個真空的原理把那個水倒出來 .;
187;M1:;...那他說 ,;
188;M1:;..他看到小樓那樣子說小樓吸毒 .;
;;..@@@@<@小樓就 --;
189;M1:;...最好魚缸那個是@>@@@ .;
190;M2:;...喔 .;
191;M2:;..我覺得他其實這樣他很可憐 .;
192;M2:;..如果ho他沒有 --;
193;M2:;...他其實可以強制就醫吧 .;
194;M1:;..靠XXX .;
195;M2:;...如果[他XXX] --;
196;M1:;[<L2 Hey look bro L2>] <L2 That's a fine line between L2> --;
;;"..強制就醫<L2 and L2> 家暴<L2 <@OK@>; L2>@ ?";
197;M2:;...所以要是我 ,;
198;M1:;..他強制就醫的話他<L2 parents L2>可以幫他強制就醫 .;
199;M1:;..我們不行 .;
200;M2:;(0)為[什麼] ?;
201;M1:;        [我們做]老公的不行 .;
202;M2:;..可以吧 ?;
203;M1:;..uh除非對我們造成 --;
204;M1:;..<@生活上的[損害]@> .;
205;M2:;                      [應該可以]呀他那個影響這麼大其實 --;
206;M2:;..我記得可以家屬 --;
207;M2:;..你只要打電話跟醫院講 ,;
208;M2:;..像是台大榮總或是北醫都可以 ,;
209;M2:;..他們會查 .;
210;M2:;..他就可以派人來 .;
211;M2:;..然後必要時你可以跟他講說你要警察一起來 .;
212;M2:;...然後<@就把他@> --;
213;M1:;[[把他綁起來]] .;
214;M2:;[[<@輕微的@>]] .;
215;M1:;..[[[@@@@@@]]];
216;M2:;..[[[輕 --;
217;M2:;..不要說我把他 ,;
218;M2:;..輕微的<@綁一下帶走@>]]] .;
219;M1:;   [[[@@@@@@@@@@@@@@]]];
220;M2:;他[[其實]]就這[[[樣]]] ,;
221;M1:;    [[用]] --;
;M1:;                      [[[用]]]膠帶捆起來@[@] .;
;M2:;                                                     [對]但是問題是重點是如果,;
;;他現在不知道他老婆在哪裡 . ;
222;M1:;..對呀 .;
223;M2:;..那就很麻煩 .;
224;M1:;(0)可是他跟我講說 ,;
225;M1:;...他老婆現在好像在搞一些 --;
226;M1:;..他們家的那個 --;
227;M1:;...這個給他 --;
228;M1:;..之前給他兒子的那一些黃金,;
;;大概加起來有半斤左右 .;
229;M1:;..八兩喔 .;
230;M1:;..<@八兩喔@>@@@@@ .;
231;M2:;..這真的是蠻扯的 .;
232;M1:;...然後到 --;
233;M1:;..賣到只剩下一副 .;
234;M2:;...(2.2)tsu .;
235;M1:;(0)然後說 --;
236;M1:;..這個 --;
237;M1:;...都 --;
238;M1:;..他到台北請人家吃飯都很闊氣的請<L2 W Hotel L2>喔 .;
239;M2:;..tsu他整個思緒跟 --;
240;M2:;... [shi] --;
241;M2:;...頭腦整個都亂了 .;
242;M1:;    [um] .;
243;M1:;(0)想說 --;
244;M1:;..你老婆在 --;
245;M1:;..高雄哪裡呀 ?;
246;M1:;..他說我不知道 .;
247;M1:;..好像都不跟他聯絡,;
;;然後就說他都傳一些很奇怪的簡訊給他還給我看 .;
248;M1:;..然後他就說看到就 --;
249;M1:;..真的就覺得很 --;
;;..很詭異 .;
250;M1:;..還<L2 actually L2>說我李昌钰啊幹嘛的跟他當好朋友呀 .;
251;M2:;(0)他就寫一些很[奇怪的東西呀] .;
252;M2:;..一看就知道是有點問題 .;
253;M2:;..不是很有點問題是有很大的問題的 .;
254;M1:;                          [@@@] .;
255;M1:;...(2.0)應該叫我老婆去看一下 ,;Minyi
256;M1:;..看看有沒有辦法<L2 link it to L2>這個 --;
257;M1:;..把他加起來當朋友X .;
258;M2:;(0)@@@我還有你要看他的東西我都看得到 .;
;;..@只是我把他<L2 block L2> -;
;;但是我只要點進去還是看得到我覺得很好笑 .;
259;M1:;(0)後來我好像是把他<L2 delete L2>掉 .;
260;M2:;(0) um .;
261;M1:;<L2 Maybe it’s why L2> .;
262;M1:;..因為我覺得-;
263;M1:;...這種人沒事的-;
264;M1:;..沒事在那邊寫一些怪裡怪氣的東[西] .;
265;M2:;                                                    [他]寫很多 ,;
266;M2:;..我就是自從 ,;
267;M2:;..把他加進來-;
