"","X.1","Sequence","Speaker","Utterance","X"
"1",1,1,"M1:"," (0) eh 啊 ,","Angelina"
"2",2,2,"M1:"," ... (1.4) 最近 都 沒有 跟 那 些 人 ,",""
"3",3,3,"M1:"," .. 那個 啊 ?",""
"4",4,4,"M1:"," ... [最近 是] --",""
"5",5,5,"M2:"," [比 較少 一 點 喔] .",""
"6",6,6,"M2:"," ... (3.4) 因 為 ,",""
"7",7,7,"M2:"," ... (1.4) 現 在 大家 也 各 忙 各 的 .",""
"8",8,8,"M2:"," .. 反正 我 就 做 我 的 <L2 trading L2> .",""
"9",9,9,"M2:"," ... (1.5) 搞 我 自己 的 東西 .",""
"10",10,10,"M1:"," (0) 可是 ,",""
"11",11,NA,"M1:"," 走掉 的 也 很多 啊 ?",""
"12",12,11,"M2:"," (0) um .",""
"13",13,NA,"M2:"," 这样 不行 --",""
"14",14,NA,"M2:"," 这样 --",""
"15",15,NA,"M2:"," 喔 有 啦 ,",""
"16",16,12,"M2:"," .. <L2 Mark L2> 我 最近 比 較常 跟 他 聯絡 .",""
"17",17,13,"M2:"," .. 蔡 .",""
"18",18,14,"M1:"," .. 蔡喔 .",""
"19",19,15,"M2:"," .. 他 自己 --",""
"20",20,NA,"M2:"," 現 在 自己 在 做 交易 .",""
"21",21,NA,"M2:"," 所以 我 們還 蠻 多 ,",""
"22",22,NA,"M2:"," .. 互相 交流 的 .",""
"23",23,17,"M1:"," .. 我 知道 他 從 自營部 離開 呀 .",""
"24",24,18,"M2:"," ... (1.3) 他 現 在 在 那 個 什麼 ,",""
"25",25,19,"M2:"," ... (1.0) 忠 孝敦化 的 路口 .",""
"26",26,20,"M2:"," .. 有 一 個 太平洋 證券 .",""
"27",27,NA,"M2:"," 它 裡面 弄 了 個 --",""
"28",28,21,"M2:"," ... 操盤室 他 在 裡面 弄 .",""
"29",29,NA,"M2:"," 因為 好像 那 一家 分公司 的 經理 .",""
"30",30,NA,"M2:"," 跟 他 是 好 朋友 .",""
"31",31,22,"M1:"," ... (2.8) 太平洋 證券 還 在 唷 ?",""
"32",32,23,"M2:"," (0) um ?",""
"33",33,24,"M1:"," .. 太平洋 證券 [還 在 XX] ?",""
"34",34,25,"M2:"," [<@ 對 .",""
"35",35,NA,"M2:"," 還 在 @>] @ .",""
"36",36,26,"M2:"," .. 全 台灣 有 幾個 點 .",""
"37",37,27,"M1:"," .. um .",""
"38",38,28,"M2:"," .. 我 是 不 知道 他們 是 靠 什麼 做 .",""
"39",39,NA,"M2:"," 反正 那 一 間 --",""
"40",40,NA,"M2:"," 那 個 點還 在 .",""
"41",41,NA,"M2:"," 然後 <L2 Mark L2> 還 在 裡面 操盤 .",""
"42",42,29,"M2:"," ... (1.0) 所以 最近 我 們 常常 在 那 邊 跟 他 聊 .",""
"43",43,NA,"M2:"," 所以 下 -",""
"44",44,NA,"M2:"," 接下來 ,",""
"45",45,NA,"M2:"," 下個 禮拜 可能 找 他 跟 --",""
"46",46,30,"M2:"," .. 李 呀 什麼 吃 個飯 .",""
"47",47,NA,"M2:"," 反正 既然 都 在 操盤 大家 聊 一 聊 交流 [交 流] .",""
"48",48,31,"M1:"," [X]",""
"49",49,32,"M1:"," ... 小樓 這件 事 嗎 ?",""
"50",50,33,"M2:"," (0) um ?",""
"51",51,34,"M1:"," .. 小樓 .",""
"52",52,35,"M2:"," .. 有 見過 一 兩 次 .",""
"53",53,NA,"M2:"," 不 太 熟 .",""
"54",54,36,"M1:"," (0) um .",""
"55",55,37,"M1:"," ... (1.7) 大概 黃 比 較熟 吧 ?",""
"56",56,38,"M2:"," .. um .",""
"57",57,39,"M1:"," ... (3.9) 那 時候 我 當 小 特助 的 時候 ,",""
"58",58,NA,"M1:"," 他 是 董事 .",""
"59",59,40,"M2:"," (1.9) 他 後來 是 不是 在 澳門 當 ,",""
"60",60,41,"M1:"," (0) um .. 對 .",""
"61",61,43,"M2:"," (0) [公務 員] ?",""
"62",62,44,"M1:"," [司 法] -",""
"63",63,NA,"M1:"," 司法 警察 .",""
"64",64,45,"M1:"," ... (2.4) 他 老婆 的 問題 還沒 解決 .",""
"65",65,NA,"M1:"," 很 麻煩 .",""
"66",66,46,"M2:"," ... (1.7) 他 老婆 是 --",""
"67",67,47,"M2:"," ... 原本 就 有 那 樣 的 狀 況然 後 後來 才 展現 出來 .",""
"68",68,NA,"M2:"," 還 是 說 ,",""
"69",69,48,"M2:"," ... 後來 才 得 憂鬱症 .",""
"70",70,49,"M1:"," (0) 後來 更 嚴重 .",""
"71",71,50,"M1:"," .. 聽說 原 -",""
"72",72,NA,"M1:"," 本來 就 <L3 siau1 siaul L3> .",""
"73",73,51,"M2:"," ... (2.7) 幾 年前 我 跟 ,",""
"74",74,52,"M2:"," ... (1.9) 嘉 跟 李跑去 澳門 玩 .",""
"75",75,53,"M1:"," .. 喔 .",""
"76",76,54,"M2:"," (0) 有 跟 他 們一起 吃 飯 .",""
"77",77,NA,"M2:"," 可是 那 時候 他 老婆 看起來 很 正常 .",""
"78",78,55,"M1:"," ... (4.7) 零四年 以後 啦 .",""
"79",79,56,"M2:"," ... (1.4) 是 喔 .",""
"80",80,57,"M2:"," ... 可是 我 上次 見到 她 應該 是 零九 年 喔 .",""
"81",81,58,"M1:"," (0) um .",""
"82",82,59,"M2:"," ... 那 時候 她 還蠻 正常 的 .",""
"83",83,60,"M2:"," ... (2.5) 沒 想到 後來 就 變 那 個 樣子 .",""
"84",84,61,"M1:"," (0) um ,",""
"85",85,62,"M1:"," .. 他 跟 我 講說 ,",""
"86",86,63,"M1:"," .. 他 ,",""
"87",87,64,"M1:"," ... (1.1) 把 他 丟 --",""
"88",88,65,"M1:"," .. 就是 ,",""
"89",89,66,"M1:"," .. 落跑 來台 灣 .",""
"90",90,67,"M2:"," ... (1.7) 是 喔 .",""
"91",91,68,"M2:"," ... (1.7) 那 怎麼 辦 ?",""
"92",92,69,"M1:"," ... (1.0) 沒 有 啊 ,",""
"93",93,70,"M1:"," .. 就 ,",""
"94",94,71,"M1:"," .. 他 司法 警察 也 不 能 跑 啊 .",""
"95",95,72,"M1:"," ... 總 不 能 跑 走 .",""
"96",96,NA,"M1:"," 大概 帶 得 回來 台灣 就 回 台灣 啊 .",""
"97",97,73,"M1:"," ... (1.7) 比 較慘 的 地方 就是 說 ,",""
"98",98,74,"M1:"," .. 小朋友 那 時候 在 美 國生 的 啊 .",""
"99",99,75,"M1:"," ... (1.0) 拿 美國 護照 .",""
"100",100,76,"M1:"," .. 他 回來 台灣 ,",""
"101",101,77,"M1:"," .. 他 在 台 -",""
"102",102,78,"M1:"," .. 美國 護照 又 過期 .",""
"103",103,NA,"M1:"," 他 沒辦 法辦 台灣 護照 .",""
"104",104,79,"M2:"," ... (1.7) 這 很 誇張 耶 .",""
"105",105,NA,"M2:"," 怎麼 --",""
"106",106,80,"M1:"," (0) 他 媽媽 扣住 他 的 美國 護照 不 讓 他 動 .",""
"107",107,81,"M1:"," ... 就 沒辦法 <L2 renew L2> 啊 .",""
"108",108,82,"M1:"," ... (4.2) 小孩子 在 父親 手上 .",""
"109",109,83,"M2:"," ... (3.4) 還 有 這種 事 喔 .",""
"110",110,84,"M1:"," .. um .",""
"111",111,NA,"M1:"," .. 那 人 反正 既然 在 台灣 不 -",""
"112",112,85,"M2:"," 也 不 能 辦 身分 ?",""
"113",113,86,"M1:"," .. 對 .",""
"114",114,87,"M2:"," .. 好 奇怪 喔 .",""
"115",115,NA,"M2:"," 為 什麼 ?",""
"116",116,88,"M1:"," (0) 他 還 有 一 次 逾期 居留 @ .",""
"117",117,89,"M2:"," ... 怎麼 那 麼詭 異 .",""
"118",118,90,"M1:"," (0) 不是 呀 ,",""
"119",119,NA,"M1:"," 了不起 耶 .",""
"120",120,91,"M2:"," ... (1.0) 怎 麼會 搞 成這 樣 .",""
"121",121,92,"M1:"," ... (4.1) 然 後 他 老婆 好像 把 ,",""
"122",122,NA,"M1:"," 他 們家 --",""
"123",123,93,"M1:"," .. 中間 回去 一 趟 澳門 ,",""
"124",124,NA,"M1:"," 把 家裡 的 黃金 ,",""
"125",125,94,"M1:"," ... 全部 幫 -",""
"126",126,95,"M1:"," .. 搬光 .",""
"127",127,96,"M1:"," .. .然 後 ,",""
"128",128,97,"M1:"," ... (2.5) 然 後 最近 靠 --",""
"129",129,98,"M1:"," .. 靠 賣黃金 過 日子 .",""
"130",130,99,"M2:"," .. @ @ @ @ @ <@ 這真 他 媽 的 了不起 喔 @> .",""
"131",131,100,"M1:"," .. ts k",""
"132",132,101,"M2:"," ... 因為 那 時候 他 加 我 ,",""
"133",133,NA,"M2:"," 在 <L2 Facebook L2> 上 加 我 ,",""
"134",134,NA,"M2:"," X 我 想 這個人 是 誰 ,",""
"135",135,NA,"M2:"," 就 等於 是 你 XXX",""
"136",136,102,"M2:"," ... 結果 點進 去 靠 一 看 我 想 說 ,",""
"137",137,NA,"M2:"," 他 那 個憂 鬱症 蠻 嚴重 的 .",""
"138",138,NA,"M2:"," 他 完全 都 在 ,",""
"139",139,103,"M2:"," .. 自問 自答 自言 [自 語] .",""
"140",140,104,"M1:"," [對 呀] .",""
"141",141,105,"M1:"," .. 我 就 把 他 --",""
"142",142,NA,"M1:"," 我 後來 把 他 <L2 block L2> 起來 .",""
"143",143,106,"M2:"," (0) 對 呀 ,",""
"144",144,NA,"M2:"," 我 也 是 .",""
"145",145,107,"M1:"," (0) 然 後 ,",""
"146",146,108,"M1:"," .. 我 還舉 報 他 .",""
"147",147,109,"M1:"," ... 我 還 很 難過 的 .",""
"148",148,110,"M1:"," .. 真的 我 舉報 他 ,",""
"149",149,NA,"M1:"," 之後 我 老婆 跟 我 講說 ,",""
"150",150,NA,"M1:"," 你 幹 嘛 舉報 他 ,",""
"151",151,111,"M1:"," .. 他 看 不 到 了 @ @ @ .",""
"152",152,112,"M2:"," ... (1.4) 你 要 看 那 個 ,",""
"153",153,NA,"M2:"," <@ 你 就 點進 去 他 那 邊 就 看 得到 啦 @> .",""
"154",154,113,"M1:"," .. um ?",""
"155",155,114,"M2:"," .. 你 要 點進 去 他 的 那 一 個 <L2 are a L2> 還 是 看 得 見 他 寫 的 所有 東西 呀 .",""
"156",156,115,"M1:"," (0) 是 喔 .",""
"157",157,116,"M1:"," ... 我 把 他 <L2 block L2> 起 來還 舉報 他 .",""
"158",158,117,"M2:"," (0) <L2 block L2> 起來 他 就 不 會 出現 在 你 那 邊 .",""
"159",159,NA,"M2:"," 可是 ,",""
"160",160,NA,"M2:"," 你 從 朋友 那 裡面 去 搜尋 ,",""
"161",161,NA,"M2:"," 他 還 在 你 的 <L2 list L2> 裡面 .",""
"162",162,118,"M1:"," .. 是 喔 .",""
"163",163,119,"M2:"," (0) 對 .",""
"164",164,NA,"M2:"," 除非 你 把 他 解除 ,",""
"165",165,NA,"M2:"," 朋友 關係 .",""
"166",166,120,"M1:"," (0) 我 好像 把 他 <L2 delete L2> 掉 了 .",""
"167",167,121,"M2:"," (0) 那 你 可能 就 沒 了 @ @ @ @ .",""
"168",168,NA,"M2:"," 因為 呢 ，",""
"169",169,NA,"M2:"," 我 是 把 他 <L2 block L2> 住 ,",""
"170",170,NA,"M2:"," 然后 呢 那 我 點進 去 還 是 看 得到 .",""
"171",171,122,"M2:"," .. 那 我 看 他 其實 ,",""
"172",172,123,"M2:"," .. 看 得 出蠻 嚴重 的 .",""
"173",173,124,"M2:"," .. 他 那 個 其實 需要 看 醫[生] .",""
"174",174,125,"M1:"," [他 好像]現 在 --",""
"175",175,126,"M1:"," .. 現在 都 是 寫信 給 那 個 ,",""
"176",176,127,"M1:"," .. 叫 什麼 名字 ,",""
"177",177,128,"M1:"," ... 徐XX .",""
"178",178,129,"M2:"," (0) @ @ 他 會 每 個 人 發 啦 .",""
"179",179,130,"M2:"," .. 他 沒有 發給 我 ,",""
"180",180,131,"M2:"," .. 因為 他 不 知道 我 是 誰 .",""
"181",181,132,"M2:"," .. 他 只是 把 我 加 -",""
"182",182,NA,"M2:"," 他 可能 看出 我 是 --",""
"183",183,133,"M1:"," .. 他 可能 ,",""
"184",184,134,"M1:"," .. [他 可能] --",""
"185",185,135,"M2:"," [這 些]人 的 [[朋友]] .",""
"186",186,136,"M1:"," [[他 可能]] 會 --",""
"187",187,NA,"M1:"," 會發 到 黃 那 邊 去 吧 .",""
"188",188,137,"M1:"," .. 不 過黃 應該 不 會理 他 .",""
"189",189,138,"M2:"," .. 沒有 啊 完全 沒 任何 反應 啊 .",""
"190",190,139,"M2:"," ... 因為 我 也 看 一下 X 黃X 的 那 個 --",""
"191",191,140,"M2:"," .. <L2 Facebook L2> 他 好像 也 都 沒 什麼 他 應該 也 是 把 他 <L2 block L2> 的 動作 .",""
"192",192,141,"M1:"," (0) um .",""
"193",193,142,"M1:"," ... (1.4) 對 呀 .",""
"194",194,143,"M2:"," (0) 那 我 有 進 去 看 他 寫 那 個 我 就 覺 得 說 ,",""
"195",195,144,"M2:"," .. 他 那 個 思緒 整個 都 亂掉 了 .",""
"196",196,145,"M2:"," .. 他 那 個 其 實真 的 [就是] --",""
"197",197,146,"M1:"," [有]嚴 重 被 害妄 想 .",""
"198",198,147,"M2:"," (0) 他 不管 .",""
"199",199,148,"M2:"," .. 他 那 個 ho不管 吃 藥 .",""
"200",200,149,"M2:"," .. 跟 心 <L2 pro L2> 看 都 要 做 .",""
"201",201,150,"M2:"," ... 這 是 --",""
"202",202,151,"M2:"," .. 這個 是 蠻 麻煩 的 事 但是 最 怕 的 就是 他 --",""
"203",203,NA,""," .. 我 看 他 他 好像 不 承認 .",""
"204",204,152,"M1:"," (0) 對 呀 .",""
"205",205,153,"M2:"," (0) 我 看到 他 有 好 他 朋友 ,",""
"206",206,154,"M2:"," .. 在 裡面 寫說 eh[他 是 不是 變] 了 或者 說 他 是 不是 生病 了 是 不是 需要 去 看 醫生 他 也 都 沒 回應 .",""
"207",207,155,"M1:"," [X XX] .",""
"208",208,156,"M2:"," ... (1.8) 他 一定 是 自己 簡單 來說 他 有 這樣 的 狀況 .",""
"209",209,157,"M1:"," .. 當然 ,",""
"210",210,158,"M1:"," .. 沒有 幾個人 覺 得 說 自己 有 神經病 .",""
"211",211,159,"M2:"," .. @ @ 其 實這 是 有 預見 就是 <L2 depression L2> 嘛 .",""
"212",212,160,"M2:"," .. 就 看一看 應該 還好 啊 .",""
"213",213,161,"M2:"," ... (1.5) 對 不 對 ?",""
"214",214,162,"M1:"," .. 也 是 啦 .",""
"215",215,163,"M1:"," .. 因為 前 幾天 他 才 來 找 我 吃 飯 ,",""
"216",216,164,"M1:"," .. 小樓 回來 [台 灣] --",""
"217",217,165,"M2:"," [蛤] 那 我 覺 得 他 --",""
"218",218,166,"M2:"," .. 他 這 樣子 他 壓力 應該 很 大 耶 .",""
"219",219,167,"M2:"," .. 他 有 他 離 了 嗎 ?",""
"220",220,168,"M1:"," .. 他 說 在 <L2 file divorce L2> 啊 .",""
"221",221,169,"M2:"," 唉 .",""
"222",222,170,"M1:"," ... (1.8) 他 說 他 從 澳 門 <L2 file divorce L2> 在 台灣 <L2 file L2> 保護 令 .",""
"223",223,171,"M1:"," ... (2.3) 要 分居 的 時間 夠 --",""
"224",224,172,"M1:"," .. 夠久 好像 滿兩年 他 就 --",""
"225",225,173,"M1:"," ... 他 就 可以 離婚 了 .",""
"226",226,174,"M2:"," (0) [很 辛苦] .",""
"227",227,175,"M1:"," (0) 所以 他 必須 <L3 kin L3> 住 兩年 .",""
"228",228,176,"M2:"," (0) 然 後 ,",""
"229",229,177,"M2:"," ... 聽 我 上次 聽 我 忘記 誰講 的 女方 家人 認為 說 他 們女 兒沒 有 問[題] .",""
"230",230,178,"M1:"," [對 呀] .",""
"231",231,179,"M2:"," .. 是 真的 被 --",""
"232",232,180,"M2:"," .. 女 --",""
"233",233,NA,""," .. 他 老公 家 暴靠 .",""
"234",234,181,"M2:"," .. <@ 那 問題 就 不是 這樣子 嘛 你 任何 --",""
"235",235,182,"M2:"," .. 頭腦 清楚 的 人 @> 看到 他 的 言行 [[就 知道 他 有 問題 啊]] .",""
"236",236,183,"M1:"," ... (5.3) [[<L2 so L2> 小樓 跟 我 講說]] ,",""
"237",237,NA,""," .. 他 只是 幫個 魚換 個水 因 為有 的 時候 不是 那 個水 用用 --",""
"238",238,184,"M1:"," .. 用 那 個 水管 要 用 嘴巴 吸嗎 .",""
"239",239,185,"M1:"," ... 就是 把 那 個水 吸出 來 吸出 一 個 <L2 vacuum L2> .",""
"240",240,186,"M1:"," .. 就 真空 嘛然 後 再 利用 那 個 真空 的 原理 把 那 個水 倒出 來 .",""
"241",241,187,"M1:"," ... 那 他 說 ,",""
"242",242,188,"M1:"," .. 他 看到 小樓 那 樣子 說 小樓 吸毒 .",""
"243",243,NA,""," .. @ @ @ @ <@ 小樓 就 --",""
"244",244,189,"M1:"," ... 最好 魚缸 那 個 是 @> @ @ @ .",""
"245",245,190,"M2:"," ... 喔 .",""
"246",246,191,"M2:"," .. 我 覺得 他 其 實這 樣 他 很 可 憐 .",""
"247",247,192,"M2:"," .. 如果 ho 他 沒有 --",""
"248",248,193,"M2:"," ... 他 其實 可以 強制 就 醫 吧 .",""
"249",249,194,"M1:"," .. 靠 XXX .",""
"250",250,195,"M2:"," ... 如果 [他 XX X] --",""
"251",251,196,"M1:"," [<L2 Hey look bro L2>] <L2 That 's a fine line between L2> --",""
"252",252,NA,""," .. 強制 就 醫 <L2 and L2> 家 暴 <L2 <@ OK @> ; L2> @ ?",""
"253",253,197,"M2:"," ... 所以 要是 我 ,",""
"254",254,198,"M1:"," .. 他 強制 就 醫 的 話 他 <L2 parents L2> 可以 幫 他 強制 就 醫 .",""
"255",255,199,"M1:"," .. 我 們 不行 .",""
"256",256,200,"M2:"," (0) 為[什麼] ?",""
"257",257,201,"M1:"," [我 們 做] 老公 的 不行 .",""
"258",258,202,"M2:"," .. 可以 吧 ?",""
"259",259,203,"M1:"," .. uh 除非 對 我 們 造成 --",""
"260",260,204,"M1:"," .. <@ 生活 上 的 [損 害] @> .",""
"261",261,205,"M2:"," [應該 可以] 呀 他 那 個 影響 這麼 大 其 實 --",""
"262",262,206,"M2:"," .. 我 記 得 可以 家屬 --",""
"263",263,207,"M2:"," .. 你 只要 打電 話 跟 醫院 講 ,",""
"264",264,208,"M2:"," .. 像 是 台大 榮總 或是 北醫 都 可以 ,",""
"265",265,209,"M2:"," .. 他 們會 查 .",""
"266",266,210,"M2:"," .. 他 就 可以 派 人 來 .",""
"267",267,211,"M2:"," .. 然後 必要 時 你 可以 跟 他 講說 你 要 警察 一起 來 .",""
"268",268,212,"M2:"," .. .然 後 <@ 就 把 他 @> --",""
"269",269,213,"M1:"," [[把 他 綁起 來]] .",""
"270",270,214,"M2:"," [[<@ 輕微 的 @>]] .",""
"271",271,215,"M1:"," .. [[[@ @ @ @ @ @]]]",""
"272",272,216,"M2:"," .. [[[輕 --",""
"273",273,217,"M2:"," .. 不要 說 我 把 他 ,",""
"274",274,218,"M2:"," .. 輕微 的 <@ 綁 一下 帶走 @>]]] .",""
"275",275,219,"M1:"," [[[@ @ @ @ @ @ @ @ @ @ @ @ @ @]]]",""
"276",276,220,"M2:"," 他 [[其實]] 就 這[[[樣]]] ,",""
"277",277,221,"M1:"," [[用]] --",""
"278",278,NA,"M1:"," [[[用]]]膠 帶捆 起來 @ [@] .",""
"279",279,NA,"M2:"," [對] 但是 問題 是 重點 是 如果 他 現 在 不 知道 他 老婆 在 哪 裡 .",""
"280",280,222,"M1:"," .. 對 呀 .",""
"281",281,223,"M2:"," .. 那 就 很 麻煩 .",""
"282",282,224,"M1:"," (0) 可是 他 跟 我 講說 ,",""
"283",283,225,"M1:"," ... 他 老婆 現 在 好像 在 搞 一些 --",""
"284",284,226,"M1:"," .. 他 們家 的 那 個 --",""
"285",285,227,"M1:"," ... 這個 給 他 --",""
"286",286,228,"M1:"," .. 之前 給 他 兒子 的 那 一些 黃金 大概 加起 來有 半斤 左右 .",""
"287",287,229,"M1:"," .. 八 兩 喔 .",""
"288",288,230,"M1:"," .. <@ 八兩喔 @> @ @ @ @ @ .",""
"289",289,231,"M2:"," .. 這真 的 是 蠻扯 的 .",""
"290",290,232,"M1:"," ... 然後 到 --",""
"291",291,233,"M1:"," .. 賣到 只 剩下 一 副 .",""
"292",292,234,"M2:"," ... (2.2) tsu .",""
"293",293,235,"M1:"," (0) 然 後說 --",""
"294",294,236,"M1:"," .. 這個 --",""
"295",295,237,"M1:"," ... 都 --",""
"296",296,238,"M1:"," .. 他 到 台北 請 人家 吃飯 都 很 闊氣 的 請 <L2 W Hotel L2> 喔 .",""
"297",297,239,"M2:"," .. tsu 他 整個 思緒 跟 --",""
"298",298,240,"M2:"," ... [shi] --",""
"299",299,241,"M2:"," ... 頭腦 整個 都 亂 了 .",""
"300",300,242,"M1:"," [um] .",""
"301",301,243,"M1:"," (0) 想 說 --",""
"302",302,244,"M1:"," .. 你 老婆 在 --",""
"303",303,245,"M1:"," .. 高雄 哪裡 呀 ?",""
"304",304,246,"M1:"," .. 他 說 我 不 知道 .",""
"305",305,247,"M1:"," .. 好像 都 不 跟 他 聯 絡然 後 就 說 他 都 傳 一些 很 奇怪 的 簡訊 給 他 還給 我 看 .",""
"306",306,248,"M1:"," .. 然後 他 就 說 看到 就 --",""
"307",307,249,"M1:"," .. 真的 就 覺 得 很 --",""
"308",308,NA,""," .. 很 詭異 .",""
"309",309,250,"M1:"," .. 還 <L2 actually L2> 說 我 李昌钰 啊 幹 嘛 的 跟 他 當好 朋友 呀 .",""
"310",310,251,"M2:"," (0) 他 就 寫 一些 很 [奇怪 的 東西 呀] .",""
"311",311,252,"M2:"," .. 一 看 就 知道 是 有 點問 題 .",""
"312",312,253,"M2:"," .. 不是 很 有 點問 題 是 有 很 大 的 問題 的 .",""
"313",313,254,"M1:"," [@ @ @] .",""
"314",314,255,"M1:"," ... (2.0) 應該 叫 我 老婆 去 看 一下 ,","Minyi"
"315",315,256,"M1:"," .. 看看 有沒 有 辦法 <L2 link it to L2> 這個 --",""
"316",316,257,"M1:"," .. 把 他 加起 來當 朋友 X .",""
"317",317,258,"M2:"," (0) @ @ @ 我 還有 你 要 看 他 的 東西 我 都 看 得到 .",""
"318",318,NA,""," .. @ 只是 我 把 他 <L2 block L2> -",""
"319",319,NA,""," 但是 我 只要 點進 去 還 是 看 得到 我 覺 得 很 好笑 .",""
"320",320,259,"M1:"," (0) 後來 我 好像 是 把 他 <L2 delete L2> 掉 .",""
"321",321,260,"M2:"," (0) um .",""
"322",322,261,"M1:"," <L2 Maybe it ’ s why L2> .",""
"323",323,262,"M1:"," .. 因為 我 覺得 -",""
"324",324,263,"M1:"," ... 這種人 沒事 的 -",""
"325",325,264,"M1:"," .. 沒事 在 那 邊寫 一些 怪裡 怪氣 的 東[西] .",""
"326",326,265,"M2:"," [他]寫 很多 ,",""
"327",327,266,"M2:"," .. 我 就是 自從 ,",""
"328",328,267,"M2:"," .. 把 他 加進 來 -",""
"329",329,NA,""," (0) 然 後 我 就 馬上 把 他 <L2 block L2> 住 ,",""
"330",330,NA,""," .. 後來 就 不 見 了 .",""
"331",331,268,"M1:"," .. XXX 喔 .",""
"332",332,269,"M2:"," (0) 但是 其實 你 要 看 都 還 是 看 得到 啦 ,",""
"333",333,NA,""," .. 很 好笑 .",""
