"","X.1","Sequence","Speaker","Utterance","X"
"334",334,270,"M2:"," ... (4.0) 唉 這個 現代 人 的 毛病 也 是 很多 耶 .",""
"335",335,271,"M1:"," .. 蛤 那 個 尤其是 --",""
"336",336,272,"M1:"," .. 很 嚴重 啊 .",""
"337",337,NA,""," .. 小樓 也 講說 他 也 沒有 說 .",""
"338",338,273,"M1:"," .. 他 說覺 得 說 如果 說 他 覺得 在 家裡 太 無 聊 .",""
"339",339,274,"M1:"," .. 他 就 去 --",""
"340",340,275,"M1:"," ... 去 工作 嘛 .",""
"341",341,276,"M1:"," ... 賺多 賺少 那 是 一 回 事 啊 .",""
"342",342,277,"M2:"," .. um .",""
"343",343,278,"M1:"," .. 然後 去 工作 有 點 事情 做 .",""
"344",344,279,"M1:"," ... (2.2) 那 --",""
"345",345,280,"M1:"," .. 他 又 不要 .",""
"346",346,281,"M2:"," ... (1.9) 那 像 --",""
"347",347,282,"M2:"," .. 我 想 一下 我 最後 我 -",""
"348",348,283,"M2:"," .. 因為 我 跟 他 不 熟 --",""
"349",349,NA,""," 是 李 跟 嘉認 識 他 .",""
"350",350,284,"M2:"," .. 然後 零九 年 那 時候 [我 們 剛好 在 去] --",""
"351",351,285,"M1:"," [在 他 在]內湖 有 一 段 時間 了 .",""
"352",352,287,"M1:"," .. 因為 我 那 時候 剛進 [[寶來 的]] 那 時候 ,",""
"353",353,288,"M2:"," [[喔 喔]] .",""
"354",354,289,"M1:"," .. 他 --",""
"355",355,290,"M1:"," ... (1.7) 那 時候 我 寫 <L2 Moodys L2> 信評 他 寫 --",""
"356",356,291,"M1:"," .. [[[他 寫]]] 中 華信 評 .",""
"357",357,292,"M2:"," ... (3.5) [[[喔]]] .",""
"358",358,293,"M1:"," .. 所以 信評 這個 部分 我 們 算是 有 交[[[[集]]]] .",""
"359",359,294,"M2:"," [[[[那]]]] 我 在 猜 他 後來 應該 就 --",""
"360",360,295,"M2:"," .. 零九年 我 碰到 他 的 時候 --",""
"361",361,296,"M2:"," .. 他 看起來 應該 已 經 有 那 樣 的 症狀 -",""
"362",362,NA,""," 只是 那 時候 不嚴 重還 是 說 因 為 --",""
"363",363,297,"M2:"," .. 朋友 來 --",""
"364",364,NA,""," 然後 因為 那 一 天 他 也 沒講 什麼 話 .",""
"365",365,298,"M1:"," [喔] .",""
"366",366,299,"M2:"," [我 們 也 感] 受 --",""
"367",367,300,"M2:"," .. [[我 們 也 感覺 不 出 來]] .",""
"368",368,301,"M1:"," [[大概 -",""
"369",369,302,"M1:"," .. 大概 就是]] 趕快 他 媽 的 吃 完 跑 了 ,",""
"370",370,303,"M2:"," .. 對 那 一 天 我 們 也 感覺 不 出來 他 有 什麼 特殊 的 異樣 說真 的 .",""
"371",371,304,"M1:"," ... (1.3) 李 知道 嗎 ?",""
"372",372,305,"M2:"," (0) 都 知道 阿 .",""
"373",373,306,"M1:"," ... (0.9) 李 也 有 被 他 騷擾 過嗎 ?",""
"374",374,307,"M2:"," ... (0.7) 好像 有 .",""
"375",375,308,"M1:"," [@ @ @]",""
"376",376,309,"M2:"," [但是 呢] --",""
"377",377,310,"M2:"," .. 李應該 也 是 把 他 打發 掉 而已 .",""
"378",378,311,"M1:"," ... (1.8) 那 李 那 個 比 較 厲害 啦 .",""
"379",379,312,"M2:"," .. 應該 就是 把 他 打發 掉 .",""
"380",380,313,"M1:"," .. 李應該 就是 ,",""
"381",381,314,"M1:"," ... (1.7) <L3 tseng siau e L3> 啦 .",""
"382",382,315,"M2:"," (0) 對 呀 .",""
"383",383,316,"M2:"," .. @",""
"384",384,317,"M1:"," ... (2.3) eh 他 現 在 還 -",""
"385",385,318,"M1:"," .. 他 現 在 還 在 大展 .",""
"386",386,319,"M2:"," (0) um .",""
"387",387,320,"M2:"," .. 他 掛執 副 我 在 猜 他 可能 過 兩年 變總 經理 .",""
"388",388,321,"M1:"," (0) 總 經理 .",""
"389",389,322,"M2:"," (0) @ @",""
"390",390,323,"M1:"," .. eh 你 不要 看 .",""
"391",391,324,"M1:"," .. 那 個 莉從 投信 離開 了 之後 現在 是 國泰 -",""
"392",392,NA,""," (0) 國 泰證 的 總經 理ne .",""
"393",393,325,"M2:"," (0) 對 我 有 聽說 ,",""
"394",394,NA,""," (0) 那 個國 泰證 想 要 --",""
"395",395,326,"M2:"," .. 看看 有沒 有 辦法 做到 -",""
"396",396,NA,""," (0) 可是 --",""
"397",397,327,"M2:"," .. 我 覺 得 還 是 很 小 呀 .",""
"398",398,328,"M2:"," ... 他 是 不是 才 兩個 店 還 三 個 [店] .",""
"399",399,329,"M1:"," [他] -",""
"400",400,330,"M1:"," .. 他 找白 當總 經理 可能 會大 一 點 .",""
"401",401,NA,""," <@ 找莉 當總 經理 <L3 na u kho liang L3> @> .",""
"402",402,331,"M2:"," ... (1.8) 然 後莉 [[也]] 挖 了 幾個 以前 寶來 的 人 過 去 .",""
"403",403,332,"M1:"," [[不然]] -",""
"404",404,333,"M1:"," (0) 不然 就 找 那 個 --",""
"405",405,334,"M1:"," ... 找 那 個 --",""
"406",406,335,"M1:"," .. 找黃 老爹 當總 經理 呀 .",""
"407",407,336,"M1:"," .. <@ 那 好 一 點 好不 好 @> .",""
"408",408,337,"M2:"," .. 莉 ,",""
"409",409,338,"M2:"," .. 我 覺得 他 只 會 做 小事eh .",""
"410",410,339,"M1:"," .. 沒有 啊 我 說 ,",""
"411",411,340,"M1:"," .. 他 -",""
"412",412,341,"M1:"," .. 他 在 -",""
"413",413,NA,""," (0) 他 在 我 們 之前 那 個 也 就是 穿 著 <L2 Prada L2> 的 惡魔 啊 .",""
"414",414,342,"M2:"," (0) 對 呀 .",""
"415",415,343,"M1:"," (0) @ @[@ @ XX X]",""
"416",416,344,"M2:"," [他 都 管 一些 無]聊 的 小事 .",""
"417",417,345,"M1:"," [[辦 公桌 放 一 邊]] .",""
"418",418,346,"M2:"," [[是 蠻無聊 的]] .",""
"419",419,347,"M2:"," .. 對沒 什麼意思 [[[啊]]] .",""
"420",420,348,"M1:"," [[[唉]]] .",""
"421",421,349,"M2:"," ... (1.4) 那 陣子 我 剛好 [在] ,",""
"422",422,350,"M1:"," [喔 對] 你 那 時候 [[在 內湖]] .",""
"423",423,351,"M2:"," [[我 很 討厭 阿]] 我 覺 得 他 很 煩 .",""
"424",424,NA,""," (0) 他 一 開 始先 說 什麼 <L2 MSN L2> 不 能 用 .",""
"425",425,352,"M1:"," ... 這個 合理 呀 合理 呀 合理 .",""
"426",426,353,"M2:"," (0) 然 後 大家 就 改用 <L2 Skype L2> .",""
"427",427,NA,""," (0) 然 後 後來 呢 ,",""
"428",428,354,"M2:"," .. 後來 又 說 --",""
"429",429,355,"M2:"," ... 你 有 申請 他 就 可以 開放 -",""
"430",430,NA,""," (0) 反正 我 們 就 大家 去 申請 .",""
"431",431,NA,""," (0) 然 後 只是 那 陣子 就 比 較少 .",""
"432",432,NA,""," (0) 然 後 又 說 --",""
"433",433,356,"M2:"," ... (.9) 什 麼辦 公桌 上面 什麼 東西 要 怎麼 擺 .",""
"434",434,NA,""," (0) 然 後 我 想 說 你 -",""
"435",435,NA,""," (0) 頭腦 有 問題 我 根本 不 甩 他 .",""
"436",436,357,"M2:"," ... (.7) 然 後 有 一 陣子 還 ,",""
"437",437,358,"M2:"," ... (.8) 人 資還 跟 我 說 什麼 我 -",""
"438",438,359,"M2:"," ... (1.0) 我 西裝 外套 吊 後面 不行 .",""
"439",439,360,"M2:"," .. 我 想 說 我 吊 在 那 邊關 你 屁事 啊 ?",""
"440",440,NA,""," (0) 是 怎樣 ?",""
"441",441,NA,""," .. 我 就 [不 甩 他] .",""
"442",442,361,"M1:"," [喔 對] 你 是 說吊 在 椅子 -",""
"443",443,NA,""," (0) 掛 在 椅子 上 呀 .",""
"444",444,362,"M2:"," (0) 不是 椅子 上 .",""
"445",445,NA,""," (0) 後面 那 個 ,",""
"446",446,363,"M2:"," .. <L2 cubicle L2> 那 個 ,",""
"447",447,364,"M2:"," .. <L2 cubicle wall L2> 上面 .",""
"448",448,365,"M1:"," (0) 喔 .",""
"449",449,366,"M1:"," ... 為 什麼 不行 ?",""
"450",450,367,"M2:"," (0) 我 那 邊 有 一 根 --",""
"451",451,NA,""," (0) 那 種 有 一 個 突出 來 .",""
"452",452,NA,""," (0) 我 就 用 [一 個 衣架 掛] .",""
"453",453,368,"M1:"," [對 呀] .",""
"454",454,NA,""," (0) 對 呀 很多 人 都 這樣 啊 .",""
"455",455,369,"M2:"," (.8) 他 說 什麼 有 礙風化 -",""
"456",456,NA,""," (0) 我 想 說 我 管 你 的 ?",""
"457",457,NA,""," (0) 如果 不 高興 就 把 我 趕走 呀 !",""
"458",458,NA,""," .. 你 把 我 <L2 fire L2> 掉 好 了 !",""
"459",459,NA,""," (0) 還 是 你 減 我 薪 -",""
"460",460,NA,""," (0) 我 就 不 甩 他 -",""
"461",461,NA,""," (0) 我 就 繼 續掛 -",""
"462",462,370,"M2:"," .. 然後 他 還會 來檢 查說 什麼 領帶 .",""
"463",463,371,"M2:"," ... 什麼 顏色 .",""
"464",464,372,"M2:"," ... (.7) 他 那 個頭 腦 真 得 都 壞掉 了 .",""
"465",465,NA,""," (0) 反正 我 就 不 甩 .",""
"466",466,NA,""," (0) 一直 在 那 邊 X 不 甩 不 甩 不 甩 不 [[甩]] .",""
"467",467,373,"M1:"," [[eh]] 我 們 以前 -",""
"468",468,374,"M1:"," .. 以前 -",""
"469",469,375,"M1:"," ... (.8) 喔對 了 ,","Sherry"
"470",470,NA,"M1:"," 你 不是 坐 裡面 哪 .",""
"471",471,376,"M1:"," ... (.9) 南海 特區 .",""
"472",472,NA,"M1:"," @ @ @ @",""
"473",473,377,"M2:"," .. 一 開始 呢 ,",""
"474",474,NA,"M2:"," 我 有 坐 在 裡面 ,",""
"475",475,NA,"M2:"," 然後 後 來[因 為] --",""
"476",476,378,"M1:"," [那 你]為 什麼 搬出 來 ?",""
"477",477,379,"M2:"," .. 因為 他們 --",""
"478",478,NA,"M2:"," 劉 被 換進 去 .",""
"479",479,380,"M1:"," (0) 喔 ,",""
"480",480,381,"M1:"," ... [對 對對 對對] .",""
"481",481,382,"M2:"," [然 後 我 就 搬出 來] ,",""
"482",482,NA,"M2:"," 劉坐 到 我 的 位子 上 .",""
"483",483,383,"M1:"," (0) 對對 對[[對 對]] .",""
"484",484,384,"M2:"," [[然 後]] 搬出 來 我 想 說 也 沒差 ,",""
"485",485,NA,"M2:"," 因 為 --",""
"486",486,385,"M1:"," (0) 應該 是 坐在 那 個角 落[那 個] ,",""
"487",487,386,"M2:"," [對] .",""
"488",488,387,"M1:"," (0) 之前 ,",""
"489",489,NA,"M1:"," 就是 ,",""
"490",490,388,"M1:"," ... um ,",""
"491",491,389,"M1:"," ... (.7) 這 個 ,",""
"492",492,NA,"M1:"," 蔡秘書 的 後面 的 後面 黃 後[面] 的 位子 .",""
"493",493,390,"M2:"," [對] .",""
"494",494,391,"M2:"," .. 然後 呢 後來 呢 劉 搬進 去 ,",""
"495",495,NA,"M2:"," 那 我 就 搬出 來 ,",""
"496",496,NA,"M2:"," 那 在 外面 ,",""
"497",497,NA,"M2:"," 反正 也 不 會 常常 遇到 XXX 或 遇到 什麼 東西 ,",""
"498",498,NA,"M2:"," 我 在 外面 也 很 <L2 OK L2> .",""
"499",499,392,"M2:"," .. 可是 有 時候 他 就 會 有 一些 人 在 那 邊晃 來晃 去 .",""
"500",500,NA,"M2:"," 聽說 啦 ,",""
"501",501,393,"M2:"," ... 之前 ,",""
"502",502,NA,"M2:"," 莉還 晃到 裡面 去 .",""
"503",503,394,"M2:"," .. 好 幾次 .",""
"504",504,395,"M1:"," .. um ,",""
"505",505,NA,"M1:"," [那 最好 --",""
"506",506,NA,"M1:"," 最好 看到 --]",""
"507",507,398,"M2:"," [X XXX XX 西]",""
"508",508,396,"M1:"," .. 最好 看到 白 ,",""
"509",509,397,"M1:"," .. 的 那 個 衣服 是 掛 在 牆壁 上 .",""
"510",510,399,"M2:"," (0) 他 當然 不 會講 啊 ,",""
"511",511,NA,"M2:"," [[反正]] 後來 就 大家 就 有 在 那 邊 ,",""
"512",512,400,"M2:"," ... 抱怨 連天 .",""
"513",513,NA,"M2:"," 所以 後來 ,",""
"514",514,NA,"M2:"," 一 陣子 以後 他 就 沒 繼續 弄 了 .",""
"515",515,402,"M1:"," .. 對 呀 .",""
"516",516,403,"M2:"," (0) 他 好像 就 玩 了 半年 吧 .",""
"517",517,404,"M1:"," .. 我 知道 呀 .",""
"518",518,405,"M2:"," (0) 感覺 那 個 非常 愚蠢 .",""
"519",519,406,"M2:"," .. 非常 可笑 .",""
"520",520,407,"M1:"," .. 我 知道 ,",""
"521",521,NA,"M1:"," 後來 好像 ,",""
"522",522,408,"M1:"," ... (.8) 好像 ,",""
"523",523,409,"M1:"," ... 白總 把 他 --",""
"524",524,410,"M1:"," ... (1.0) 扔 去 投信 了 吧 .",""
"525",525,411,"M2:"," ... 對 啊 ,",""
"526",526,NA,"M2:"," 掛個 副董沒 事幹 吧 .",""
"527",527,412,"M1:"," .. 對阿 副董事長 在 幹 嘛 ?",""
"528",528,413,"M2:"," .. 不 知道 啊 @ @ @ @",""
"529",529,414,"M1:"," (0) 不 過 我 倒是 很 訝異 國泰 証會 找 他 當總 經理 .",""
"530",530,415,"M2:"," (0) 因 為國 泰証 搞 不 清楚 .",""
"531",531,416,"M1:"," (0) @ @ @",""
"532",532,417,"M1:"," ... (1.0) 我 真 得 很 訝異 .",""
"533",533,418,"M2:"," .. 那 時候 呀 ,",""
"534",534,419,"M2:"," .. 白總 去 唷 ,",""
"535",535,420,"M1:"," .. 他 找誰 當總 經理 都 <L2 OK L2> 呀 ,",""
"536",536,NA,"M1:"," 不要 找 --",""
"537",537,421,"M1:"," .. 找 莉當 --",""
"538",538,422,"M2:"," .. 國泰 我 覺 得 國 泰金 控沒 有 想 要 花 大錢 吧 .",""
"539",539,NA,"M2:"," 他們 的 證券 本來 就 不 做 大 .",""
"540",540,NA,"M1"," 對 呀 .",""
"541",541,424,"M2:"," (0) 他 只是 找個人 去 管理 .",""
"542",542,425,"M1:"," ... (1.1) 對 呀 .",""
"543",543,426,"M2:"," ... (1.0) 那 時候 ,",""
"544",544,NA,"M2:"," 元 大併 寶來 呀 ,",""
"545",545,NA,"M2:"," 然後 ,",""
"546",546,427,"M2:"," ... (1.2) 因為 後 來莉 做 得 那些 奇怪 的 事情 ,",""
"547",547,428,"M2:"," .. 他 在 寶來 裡面 人緣 很 差 .",""
"548",548,429,"M1:"," .. 對 .",""
"549",549,430,"M2:"," (0) 因 為連仁 都 很 討厭 他 ,",""
"550",550,NA,"M2:"," 然後 一些 其他 高階 主管 ,",""
"551",551,NA,"M2:"," 洪什麼 也 都 不 喜歡 他 .",""
"552",552,431,"M1:"," (0) 洪 很 討厭 他 ,",""
"553",553,NA,""," [<@這 都 知道 @> @] .",""
"554",554,432,"M2:"," [因 為 大家 --]",""
"555",555,433,"M2:"," .. 大家 都 覺 得 他 ,",""
"556",556,434,"M2:"," ... (2.0) 在 那 邊 ,",""
"557",557,435,"M1:"," ... 啊 --",""
"558",558,436,"M2:"," (0) 雞 蛋裡 挑骨 頭 ,",""
"559",559,NA,"M2:"," 玩 一些 沒有 --",""
"560",560,NA,"M2:"," 對[投資 沒有 助益 的 事] .",""
"561",561,437,"M1:"," [沒 有 意義 的 東西] .",""
"562",562,NA,"M1:"," 沒有 賺錢 的 東西 阿 .",""
"563",563,438,"M2:"," .. 這 --",""
"564",564,439,"M2:"," .. 然後 後 來讓 他 想 要 --",""
"565",565,440,"M2:"," .. 讓 他 離開 寶來 的 原因 就是 因為 後來 ,",""
"566",566,441,"M2:"," ... (1.3) 元 大併 了 寶來 後 有 一 次 ,",""
"567",567,442,"M2:"," ... 他 不是 請 所有 的 董監 ?",""
"568",568,443,"M2:"," ... 加上 所有 的 ,",""
"569",569,444,"M2:"," .. 應 該說 是 一 級 主管 .",""
"570",570,445,"M1:"," (0) 寶來 董監嗎 ?",""
"571",571,446,"M2:"," ... (1.5) ts k .",""
"572",572,NA,"M2:"," 我 [記 得 好像] 是 寶來 總監 .",""
"573",573,447,"M1:"," [X XX X]",""
"574",574,448,"M2:"," .. 整個 集團 的 啦 .",""
"575",575,NA,"M2:"," 然後 還有 只要 好像 副總級 [[以上 的]] 高階 主管 ,",""
"576",576,450,"M1:"," [[um]] .",""
"577",577,449,"M2:"," .. 他 幾乎 全部 都 請 .",""
"578",578,451,"M1:"," ... (1.3) 莉 ?",""
"579",579,452,"M2:"," ... 那 個元 大 經控 嘛 .",""
"580",580,453,"M1:"," (0) 喔對 對對 對對 對對 ,",""
"581",581,NA,"M1:"," 我 知道 .",""
"582",582,455,"M2:"," [在 世貿 的 [X X] .",""
"583",583,454,"M1:"," .. [這 我 知道] .",""
"584",584,NA,"M1:"," 對對 對這 我 知道 .",""
"585",585,456,"M2:"," (0) 可是 那 一 次 呢 ,",""
"586",586,457,"M2:"," .. 他們 就 有 ,",""
"587",587,458,"M2:"," ... (0.8) 有 漏掉 幾個人 ,",""
"588",588,NA,"M2:"," 我 覺 得 是 刻意 漏掉 .",""
"589",589,459,"M1:"," .. 漏掉 莉 ?",""
"590",590,460,"M2:"," .. 對 .",""
"591",591,461,"M2:"," .. [然 後] --",""
"592",592,462,"M1:"," [對 阿那天 沒] 看到 他 .",""
"593",593,463,"M2:"," .. 莉 呢 ,",""
"594",594,NA,"M2:"," 就 哭哭啼啼 的 跑去 跟 ,",""
"595",595,464,"M1:"," ... 黃董 <L3 哭夭 L3> ?",""
"596",596,465,"M2:"," ... (0.7) 跑去 跟 黃 監察 哭哭啼啼 ,",""
"597",597,NA,"M2:"," 然後 又 跑去 跟 那 個 ,",""
"598",598,466,"M2:"," .. 白 太太 .",""
"599",599,NA,"M2:"," 就 那 個 ,",""
"600",600,467,"M2:"," ... 魏董 哭哭啼啼 @ .",""
"601",601,NA,"M2:"," 你 知道 ,",""
"602",602,NA,"M2:"," 那 [兩 個人] ,",""
"603",603,468,"M1:"," [魏 董] ,",""
"604",604,NA,"M1:"," 魏董 根本 不 管事 [[阿]] .",""
"605",605,469,"M2:"," [[對 呀]] <@ 那 --",""
"606",606,470,"M2:"," .. 那 這 兩位 也 只能 兩手 一 攤 [[[說]]] ,",""
"607",607,472,"M1:"," [[[對 啊]]] .",""
"608",608,471,"M2:"," .. 這這 個[[[[不是 我 能 決定 的]]]] @> .",""
"609",609,473,"M1:"," ... (0.6) [[[[@ @ @ @ @]}]]",""
"610",610,474,"M2:"," (0) @然 後 大家 心裡 就 想 說 可見 他人 緣多 差 ,",""
"611",611,NA,"M2:"," 沒有 人 --",""
"612",612,475,"M2:"," .. 因 為元 大 那 時候 一定 應該 已 經 做 過 了 一 個 <L2 pool L2> ,",""
"613",613,NA,"M2:"," 一 個 普查 .",""
"614",614,476,"M1:"," (0) 沒 有 我 覺 得 那 個 是 ,",""
"615",615,477,"M1:"," .. 我 高度 懷疑 是 ,",""
"616",616,478,"M1:"," ... 高階 <@ 主管 故意 漏掉 他 @> .",""
"617",617,NA,"M1:"," 沒道 理勝 去 他 沒 去 耶 .",""
"618",618,479,"M1:"," .. eh 老 實講 真 得 沒 道理 .",""
"619",619,480,"M2:"," (0) 沒 有 ,",""
"620",620,NA,"M2:"," 搞不好 是 有人 一直 在 馬家 前面 講 他 壞話 ,",""
"621",621,NA,"M2:"," 說這 個人 很 糟 .",""
"622",622,481,"M1:"," (0) 應 --",""
"623",623,482,"M1:"," .. 應該 不至 於 .",""
"624",624,483,"M2:"," (0) @ <@ 這 我 就 不 清 [楚 了] @> .",""
"625",625,484,"M1:"," [應 該 不是] .",""
"626",626,485,"M2:"," .. 因 為勝 也 很 討厭 他 ,",""
"627",627,NA,"M2:"," 我 知[[道]] .",""
"628",628,486,"M1:"," [[我 知道]] 勝 很 討厭 他 ,",""
"629",629,NA,"M1:"," 因為 他 ,",""
"630",630,487,"M1:"," .. 他 --",""
"631",631,488,"M1:"," .. 在 劉 --",""
"632",632,489,"M1:"," .. 在 投信 那 邊 跟 勝 對鬥 呀 ,",""
"633",633,490,"M1:"," .. [[[鬥 很 兇]]] .",""
"634",634,491,"M2:"," [[[那 很 無]]]聊 啊 .",""
"635",635,NA,"M2:"," 沒有 意義 嘛 .",""
"636",636,NA,"M2:"," 唉 .",""
"637",637,492,"M1:"," (0) 啊 勝 他 會賺 錢 .",""
"638",638,493,"M2:"," (0) 對 呀 .",""
"639",639,NA,"M2:"," 勝 做 得 還 不 錯 啦 .",""
"640",640,NA,"M2:"," 以 專業 經理人 來講 我 覺得 他 做 得 不 錯 .",""
"641",641,494,"M1:"," .. 他 會賺錢 啊 .",""
"642",642,495,"M2:"," (0) um .",""
"643",643,496,"M2:"," .. 所以 <@ 我 覺 得 很 @ @ 好笑 @> .",""
"644",644,497,"M2:"," .. 然後 後來 好像 沒多久 ,",""
"645",645,498,"M2:"," .. 那 個 <@ 吃 完 飯 以後 我 就 聽說 他 離開 了 @> .",""
"646",646,499,"M1:"," ... 喔對 呀 .",""
"647",647,500,"M1:"," .. 那 一 ,",""
"648",648,NA,"M1:"," 喔 那 一 頓 飯 ,",""
"649",649,501,"M1:"," .. 就是 剛 ,",""
"650",650,502,"M1:"," .. <L2 announce merge L2> 的 時候 .",""
"651",651,503,"M2:"," (0) 對 .",""
"652",652,504,"M2:"," ... 然後 後來 ,",""
"653",653,NA,"M2:"," 他 可能 就 開始 很 積極 .",""
"654",654,NA,"M2:"," 你 也 知道 他 也 是 很 <L2 aggressive L2> ,",""
"655",655,NA,"M2:"," 他 應該 就是 出去 業界 到 處 找到 處 找然 後 就 ,",""
"656",656,NA,"M2:"," [跑] 去 那 邊 .",""
"657",657,505,"M1:"," [um] .",""
"658",658,506,"M1:"," ... um",""
"659",659,507,"M1:"," .. 開發金 ,",""
"660",660,508,"M1:"," ... (1.4) 也 沒理 他 .",""
"661",661,NA,"M1:"," 他 --",""
"662",662,509,"M2:"," X",""
"663",663,510,"M1:"," ... (1.2) 那 個林 不是 去 開發金 ?",""
"664",664,511,"M2:"," (0) 喔 對林 也 不 喜歡 他 嘛 .",""
"665",665,512,"M1:"," (0) 喔 對 ,",""
"666",666,513,"M1:"," .. 也 是 .",""
"667",667,514,"M1:"," .. 他 那 個人 緣 太 差 了 .",""
"668",668,515,"M2:"," (0) 對 呀 ,",""
"669",669,NA,"M2:"," 因為 他 那 時候 ,",""
"670",670,NA,"M2:"," 玩 那些 無聊 的 東西 ,",""
"671",671,516,"M2:"," .. 還管 東 管西 的 ,",""
"672",672,NA,"M2:"," 得罪 很多 人 嘛 .",""
"673",673,517,"M1:"," (0) um .",""
"674",674,NA,"M1:"," 林脾氣 比 他 更 大好 不 好 .",""
"675",675,518,"M2:"," (0) um .",""
"676",676,519,"M1:"," ... 林尤其是 在 白總 那 邊 ,",""
"677",677,520,"M1:"," ... (0.7) 更 得 寵 @ .",""
"678",678,521,"M2:"," .. um .",""
"679",679,NA,"M2:"," 應該 是 .",""
